# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
tie wang zuo 	鐵王座	c=1 d=1 t=22181
tie zhi 	貼紙	c=1 d=1 t=69461
tie zhu 	铁柱	c=1 d=1 t=61453
tie zi 	貼子	c=1 d=1 t=31608
ting 	停	c=1 d=1 t=59939
ting 	廳	c=1 d=1 t=122813
ting 	廷	c=2 d=1.96079 t=63137
ting 	挺	c=10 d=1.20598 t=133462
ting 	聽	c=29 d=1.35442 t=133671
ting bu dao 	聽不到	c=1 d=1 t=114837
ting bu dong 	聽不懂	c=5 d=1.0011 t=123040
ting chang jian 	挺常見	c=1 d=1 t=15189
ting chu 	聽出	c=1 d=1 t=51973
ting cuo 	聽錯	c=1 d=1 t=112976
ting da 	挺大	c=3 d=1.02294 t=129651
ting dao 	聽到	c=14 d=2.33455 t=114327
ting dong 	聽懂	c=1 d=1 t=1929
ting duo 	挺多	c=3 d=0.1 t=126980
ting duo ti 	挺多題	c=1 d=1 t=126981
ting fa 	停發	c=1 d=1 t=106579
ting gao 	挺高	c=1 d=1 t=30348
ting ge 	聽個	c=2 d=1 t=87044
ting ge 	聽歌	c=1 d=1 t=69267
ting guai 	挺乖	c=1 d=1 t=86721
ting guo 	聽過	c=5 d=1 t=109161
ting guo yi shou ge 	聽過一首歌	c=1 d=1 t=48029
ting hao 	挺好	c=7 d=1.00164 t=119457
ting hao 	挺豪	c=1 d=1 t=55056
ting hao kan 	挺好看	c=1 d=1 t=94529
ting hou 	聽候	c=2 d=1 t=116729
ting huo 	挺火	c=1 d=1 t=129871
ting ka 	停卡	c=1 d=1 t=54268
ting kai xin 	挺开心	c=1 d=1 t=113919
ting le 	停了	c=1 d=1 t=76960
ting le 	聽了	c=2 d=1 t=94895
ting liu 	停留	c=1 d=1 t=19929
ting ni 	聽你	c=2 d=1.00007 t=116233
ting pai 	聽牌	c=1 d=1 t=70290
ting qi lai 	聽起來	c=5 d=1 t=122415
ting qi xiong tang 	挺起胸膛	c=1 d=1 t=83187
ting qiang 	挺强	c=1 d=1 t=125826
ting qing 	聽清	c=1 d=1 t=15340
ting qing song 	挺輕鬆	c=1 d=1 t=40468
ting shuang 	挺爽	c=2 d=1 t=55158
ting shuo 	聽說	c=14 d=1 t=131722
ting shuo du xie 	聽說讀寫	c=1 d=1 t=134607
ting ting 	聽聽	c=5 d=1 t=124512
ting ting ni 	听听你	c=1 d=1 t=130873
ting wen 	聽聞	c=0 d=0.1 t=61148
ting wen ni 	聽聞你	c=1 d=1 t=61149
ting wo 	聽我	c=3 d=1 t=72535
ting xi huan 	挺喜欢	c=2 d=1.00008 t=115741
ting yi 	庭逸	c=1 d=1 t=32672
ting yi ting 	听一听	c=1 d=1 t=120956
ting yi xia 	听一下	c=1 d=1 t=4617
ting yong ci 	停用词	c=1 d=1 t=104476
ting you 	挺有	c=1 d=1 t=88082
ting you qu 	挺有趣	c=1 d=1 t=121984
ting you yi si 	挺有意思	c=1 d=1 t=80811
ting zai 	停在	c=1 d=1 t=83781
ting zhe 	聽着	c=2 d=1 t=126748
ting zhen qi 	聽診器	c=3 d=2.95551 t=46461
ting zhen shi 	挺真實	c=1 d=1 t=119000
ting zheng chang 	聽正常	c=2 d=1 t=124182
ting zhi 	停止	c=9 d=1 t=109910
ting zhi 	停滯	c=1 d=1 t=69029
tong 	同	c=9 d=1 t=106304
tong 	捅	c=1 d=1 t=84135
tong 	桶	c=4 d=1 t=70992
tong 	童	c=2 d=1.91393 t=76138
tong 	統	c=2 d=1.95123 t=102325
tong 	通	c=9 d=1 t=87045
tong bian hao 	桶编号	c=1 d=1 t=27322
tong bing 	通病	c=1 d=1 t=14952
tong bing xiang lian 	同病相憐	c=1 d=1 t=67883
tong bu 	同步	c=6 d=1 t=74386
tong bu liu cheng 	同步流程	c=1 d=1 t=2315
tong bu yi xia 	同步一下	c=4 d=1 t=119870
tong bu yi xie 	同步一些	c=1 d=1 t=9852
tong chang 	通常	c=7 d=4.38997 t=25217
tong cheng 	統稱	c=1 d=1 t=40079
tong cheng wei 	統稱爲	c=1 d=1 t=42433
tong chou 	統籌	c=1 d=1 t=128082
tong chu 	捅出	c=0 d=0.1 t=85217
tong chu lai le 	捅出來了	c=1 d=1 t=85218
tong dao 	通道	c=6 d=1 t=74342
tong dao shi 	通道是	c=1 d=1 t=119298
tong deng 	同等	c=2 d=1 t=71779
tong dian 	痛点	c=4 d=1.0256 t=126245
tong dian hua 	通電話	c=1 d=1 t=62719
tong ding 	捅顶	c=1 d=1 t=84134
tong dun 	同盾	c=1 d=1 t=8913
tong fang 	同方	c=2 d=1 t=122625
tong gui yu jin 	同歸於盡	c=1 d=1 t=82092
tong guo 	通過	c=31 d=1 t=119429
tong guo lv 	通过率	c=4 d=1 t=126826
tong hang 	同行	c=3 d=1 t=128087
tong hu xi 	同呼吸	c=1 d=1 t=47777
tong hu xi ex 	同呼吸ex	c=1 d=1 t=28151
tong hua 	通話	c=22 d=1.95123 t=92509
tong huo 	同夥	c=1 d=1 t=131607
tong ji 	同級	c=2 d=1 t=123272
tong ji 	統計	c=32 d=1 t=134754
tong ji lei 	統計類	c=1 d=1 t=25897
tong ji liang 	统计量	c=1 d=1 t=119958
tong ji shu ju 	統計數據	c=1 d=1 t=87929
tong kuai 	痛快	c=0 d=0.1 t=75020
tong kuan 	同款	c=5 d=1 t=97510
tong le 	捅了	c=1 d=1 t=17928
tong le 	通了	c=2 d=1 t=126273
tong lei 	同類	c=1 d=1 t=116850
tong lei xing 	同類型	c=3 d=1 t=128257
tong li xin 	同理心	c=1 d=1 t=122513
tong lu 	通路	c=1 d=1 t=4514
tong luo wan 	銅鑼灣	c=1 d=1 t=28199
tong ma 	痛嗎	c=1 d=1 t=88116
tong ren 	捅人	c=1 d=1 t=70671
tong sheng 	同省	c=1 d=1 t=50807
tong shi 	同事	c=34 d=3.14538 t=133838
tong shi 	同時	c=62 d=1.0001 t=133666
tong shi 	銅屍	c=2 d=1.96561 t=18206
tong shi yong 	同時用	c=1 d=1 t=111821
tong shu 	同屬	c=1 d=1 t=119678
tong si 	捅死	c=1 d=1 t=21239
tong sou wu qi 	童叟無欺	c=1 d=1 t=124166
tong su yi dong 	通俗易懂	c=5 d=1.01558 t=18514
tong tong 	痛痛	c=2 d=1 t=117896
tong tou 	通透	c=1 d=1 t=109322
tong xi 	同喜	c=1 d=1 t=106492
tong xiao 	通宵	c=5 d=1 t=90838
tong xing lian 	同性戀	c=1 d=1 t=77732
tong xing zheng 	通行證	c=1 d=1 t=26292
tong xue 	同學	c=19 d=1.00005 t=133259
tong xun lu 	通訊錄	c=2 d=1 t=116138
tong yang 	同樣	c=12 d=1 t=60387
tong ye 	同業	c=1 d=1 t=116581
tong yi 	同一	c=1 d=1 t=8655
tong yi 	同意	c=2 d=1 t=133813
tong yi 	統一	c=13 d=0.1 t=129464
tong yi ci 	同義詞	c=1 d=1 t=25455
tong yi ge 	同一個	c=9 d=1.91859 t=103979
tong yi jie suan 	統一結算	c=1 d=1 t=129465
tong yi kan 	統一看	c=1 d=1 t=95459
tong yi pian 	同一片	c=1 d=1 t=12375
tong yi wang duan 	統一網段	c=1 d=1 t=58248
tong yong 	通用	c=13 d=1 t=115499
tong zhao 	統招	c=1 d=1 t=134567
tong zhi 	統治	c=3 d=1 t=101806
tong zhi 	通知	c=8 d=1 t=127864
tong zhi li 	統治力	c=1 d=1 t=36929
tong zhi nin 	通知您	c=1 d=1 t=54774
tong zhi shu 	通知書	c=4 d=1 t=127286
tong zhi wo 	通知我	c=1 d=1 t=129795
tong zhi yi sheng 	通知一声	c=1 d=1 t=110131
tong zhi yi xia 	通知一下	c=1 d=1 t=54804
tong zhou 	通州	c=1 d=1 t=95191
tong zhuo 	同桌	c=1 d=1 t=110906
tong zi 	童子	c=0 d=0.1 t=63916
tou 	偷	c=6 d=1 t=131878
tou 	投	c=11 d=1.00075 t=124894
tou 	透	c=2 d=1 t=126665
tou 	頭	c=14 d=1 t=131235
tou ben 	投奔	c=1 d=1 t=134142
tou bu 	頭部	c=2 d=1.1367 t=73412
tou bu xiao ying 	頭部效應	c=1 d=1 t=64050
tou cheng 	投誠	c=1 d=1 t=26257
tou da 	頭大	c=4 d=1 t=128746
tou dai 	頭戴	c=1 d=1 t=46466
tou di 	投遞	c=3 d=1.83946 t=118481
tou di yi bo 	投遞一波	c=1 d=1 t=44347
tou dong xi 	偷東西	c=1 d=1 t=114897
tou fa 	頭髮	c=2 d=1 t=119318
tou fang 	投放	c=3 d=1.88692 t=51128
tou gao 	投稿	c=5 d=1 t=79129
tou gu 	投顾	c=3 d=1 t=32810
tou hang 	投行	c=1 d=1 t=113035
tou ji tian 	頭幾天	c=1 d=1 t=66903
tou jian li 	投簡歷	c=1 d=1 t=30127
tou kui 	偷窺	c=2 d=1.55156 t=133840
tou lu 	透露	c=3 d=1 t=131063
tou lu yi xia 	透露一下	c=1 d=1 t=107821
tou lu zhe 	透露着	c=1 d=1 t=64839
tou ming 	透明	c=1 d=1 t=57909
tou piao 	投票	c=1 d=0.1 t=134811
tou piao huan jie 	投票環節	c=1 d=1 t=134812
tou ping 	投屏	c=1 d=1 t=74427
tou qi 	透氣	c=1 d=1 t=78483
tou qiu 	頭球	c=2 d=1 t=90870
tou ru 	投入	c=8 d=1 t=115519
tou ru chan chu 	投入產出	c=0 d=0.1 t=116881
tou ru chan chu bi 	投入產出比	c=1 d=1 t=116882
tou shang 	頭上	c=4 d=1 t=133615
tou shi 	偷师	c=2 d=1 t=110627
tou si 	偷死	c=1 d=1 t=61940
tou su 	投宿	c=1 d=1 t=54943
tou su 	投訴	c=2 d=1 t=80939
tou su lv 	投诉率	c=2 d=1 t=17314
tou teng 	頭疼	c=4 d=1 t=60929
tou tiao 	頭條	c=26 d=2.59604 t=134747
tou tie 	头铁	c=7 d=1 t=132487
tou tou 	偷偷	c=5 d=1 t=133843
tou tu 	頭禿	c=1 d=1 t=70714
tou xiang 	投降	c=7 d=1 t=117071
tou xiang 	頭像	c=6 d=1 t=108014
tou yi 	頭一	c=0 d=0.1 t=9218
tou yi tian 	頭一天	c=2 d=1 t=66626
tou ying yi 	投影儀	c=9 d=1.95123 t=77825
tou yun 	頭暈	c=1 d=1 t=132162
tou zhi 	透支	c=4 d=2.98571 t=52282
tou zhu 	偷豬	c=2 d=1 t=113712
tou zi 	投資	c=8 d=1.67368 t=108343
tou zi 	骰子	c=1 d=1 t=70341
tou zi jing li 	投资经理	c=1 d=1 t=61096
tou zi ren 	投資人	c=4 d=1 t=55557
tou zi zhe 	投資者	c=1 d=1 t=128813
tu 	圖	c=23 d=1 t=129755
tu 	土	c=2 d=1 t=110416
tu 	禿	c=2 d=1.41066 t=97235
tu 	突	c=2 d=1 t=102244
tu an 	圖案	c=1 d=1 t=48683
tu biao 	圖表	c=3 d=1 t=88477
tu cao 	吐槽	c=1 d=1 t=133581
tu chu 	凸出	c=1 d=1 t=25349
tu chu 	突出	c=1 d=1 t=74764
tu chu lai 	凸出來	c=1 d=1 t=45243
tu di 	徒弟	c=1 d=1 t=102375
tu fu 	屠夫	c=0 d=0.1 t=77040
tu fu a chuan 	屠夫阿川	c=1 d=1 t=77041
tu han shu 	凸函数	c=6 d=1.00643 t=41844
tu jin 	突進	c=4 d=1.94176 t=63481
tu jing 	途徑	c=1 d=1 t=53735
tu lao 	徒勞	c=1 d=1 t=133652
tu li 	圖裏	c=1 d=1 t=75667
tu lian 	突脸	c=1 d=1 t=123067
tu ling jiang 	圖靈獎	c=4 d=1 t=108472
tu pian 	圖片	c=13 d=1 t=104263
tu po 	突破	c=10 d=1 t=130183
tu po kou 	突破口	c=1 d=1 t=92397
tu qi 	吐氣	c=1 d=1 t=85444
tu ran 	突然	c=16 d=1.02497 t=134767
tu ru qi lai 	突如其來	c=1 d=1 t=15302
tu sha 	屠殺	c=2 d=1 t=106231
tu shu guan 	圖書館	c=6 d=3.42214 t=120839
tu tou 	塗頭	c=1 d=1 t=81017
tu tou 	禿頭	c=1 d=1 t=110814
tu tu 	兔兔	c=1 d=1 t=129867
tu xian 	凸顯	c=1 d=1 t=125206
tu xiang 	圖像	c=19 d=1.00042 t=110454
tu zhu 	土著	c=1 d=1 t=90918
tu zi 	兔子	c=1 d=1 t=117193
tuan 	團	c=15 d=1.86071 t=106764
tuan bao bao 	團宝宝	c=2 d=1.91851 t=85985
tuan dui 	團隊	c=77 d=1.00181 t=132521
tuan huo 	團伙	c=1 d=1 t=10142
tuan jian 	团建	c=4 d=3.82074 t=77644
tuan jie hu 	团结湖	c=1 d=1 t=134034
tuan kong 	團空	c=1 d=1 t=111200
tuan long 	團龍	c=1 d=1 t=107627
tuan mie 	团灭	c=3 d=1 t=102460
tuan tuan 	團團	c=1 d=1 t=95237
tuan zhan 	团战	c=8 d=1 t=121952
tui 	推	c=30 d=1.00001 t=127442
tui 	腿	c=6 d=1 t=95402
tui 	退	c=9 d=1 t=112559
tui bo 	推波	c=1 d=1 t=72158
tui ce 	推測	c=4 d=1 t=126866
tui chi 	推遲	c=1 d=1 t=64647
tui chong 	推崇	c=1 d=1 t=9577
tui chu 	退出	c=20 d=2.22971 t=131390
tui chu xie yi 	退出協議	c=1 d=1 t=124359
tui cuo 	推錯	c=1 d=1 t=2188
tui dan 	退单	c=3 d=2.94092 t=2281
tui dao 	推倒	c=1 d=1 t=127360
tui dao 	推到	c=2 d=1 t=75429
tui dao 	推導	c=20 d=1.78663 t=115062
tui dao shi 	推导式	c=1 d=1 t=11746
tui ding 	退訂	c=2 d=1.99005 t=54744
tui dong 	推動	c=4 d=1 t=87204
tui duan 	推斷	c=23 d=1 t=116900
tui duan shang 	推断上	c=1 d=1 t=93139
tui dui 	退隊	c=2 d=1 t=108304
tui gao 	推高	c=1 d=1 t=72913
tui ge 	推个	c=1 d=1 t=120309
tui gei 	推給	c=0 d=0.1 t=18246
tui gei le 	推給了	c=1 d=1 t=18247
tui guang 	推廣	c=1 d=1 t=50314
tui guo lai 	推過來	c=1 d=1 t=60535
tui hua 	退化	c=3 d=1 t=133156
tui hui 	退回	c=2 d=1 t=38414
tui huo 	退火	c=1 d=1 t=2954
tui jian 	推薦	c=67 d=1 t=134713
tui jian suan fa 	推荐算法	c=1 d=1 t=134730
tui jin 	推進	c=4 d=1 t=120163
tui jin yi xia 	推進一下	c=1 d=1 t=46707
tui kai 	推開	c=2 d=1 t=84299
tui le 	推了	c=5 d=1 t=124909
tui le 	退了	c=4 d=1.49659 t=108310
tui li 	推理	c=4 d=1.32142 t=129422
tui li ji 	推理机	c=1 d=1 t=19190
tui lun 	推論	c=1 d=1 t=27970
tui mao 	腿毛	c=1 d=1 t=64438
tui na 	推拿	c=2 d=1 t=91656
tui qin 	退親	c=1 d=1 t=73264
tui qun 	退群	c=2 d=1 t=91313
tui re 	退熱	c=0 d=0.1 t=43617
tui ru 	推入	c=1 d=1 t=67214
tui shang 	腿上	c=3 d=1 t=113210
tui shu ju 	推數據	c=4 d=1.93239 t=76929
tui song 	推送	c=17 d=1 t=92563
tui song dao 	推送到	c=1 d=1 t=52674
tui suan 	推算	c=1 d=1 t=104281
tui ta 	推塔	c=8 d=1 t=121966
tui tu ji 	推土機	c=1 d=1 t=42535
tui wan 	推完	c=1 d=1 t=64257
tui xiang 	推向	c=1 d=1 t=9660
tui xiao 	推銷	c=1 d=1 t=99094
tui xiu 	退休	c=1 d=1 t=89437
tui yi xia 	推一下	c=4 d=1 t=70500
tui zou 	推走	c=1 d=1 t=90984
tun 	吞	c=2 d=1 t=111288
tun 	屯	c=1 d=1 t=134039
tun le 	屯了	c=1 d=1 t=127981
tun zhe 	屯着	c=1 d=1 t=111562
tuo 	坨	c=3 d=1 t=54191
tuo 	拖	c=6 d=1 t=108800
tuo 	脫	c=0 d=0.1 t=33593
tuo bu kai 	脫不開	c=1 d=1 t=33594
tuo dao 	拖到	c=1 d=1 t=99202
tuo fen 	拖分	c=6 d=1.10547 t=89087
tuo feng 	駝峯	c=1 d=1 t=63788
tuo guan 	託管	c=1 d=1 t=84355
tuo jie 	脫節	c=2 d=1 t=61951
tuo jie zou 	拖节奏	c=1 d=1 t=96295
tuo le 	妥了	c=1 d=1 t=26718
tuo le 	脫了	c=1 d=1 t=30195
tuo lei 	拖累	c=1 d=1 t=28870
tuo li 	脫離	c=2 d=1 t=121369
tuo man 	託曼	c=1 d=1 t=377
tuo min 	脫敏	c=8 d=2.2369 t=124033
tuo pan 	托盤	c=1 d=1 t=65845
tuo po 	脫坡	c=0 d=0.1 t=77194
tuo pu 	拓撲	c=1 d=1 t=110294
tuo qian 	拖欠	c=1 d=1 t=53975
tuo xie 	妥協	c=1 d=1 t=91095
tuo xie 	脫鞋	c=1 d=1 t=83063
tuo yi fu 	脫衣服	c=3 d=1 t=124599
tuo zhan 	拓展	c=2 d=1 t=110457
tuo zhu 	托住	c=1 d=1 t=97146
up 	up	c=1 d=1 t=90835
value 	value	c=2 d=1 t=112686
wa 	哇	c=4 d=0.1 t=124954
wa 	娃	c=1 d=1 t=85077
wa 	挖	c=3 d=1.46767 t=123291
wa cai 	挖财	c=1 d=1 t=89533
wa di 	窪地	c=2 d=1 t=77291
wa ha 	挖哈	c=2 d=1 t=45141
wa jue 	挖掘	c=3 d=1 t=128058
wa li si 	瓦里斯	c=2 d=1 t=22193
wa o 	哇哦	c=3 d=1 t=128377
wa wa jiao 	哇哇叫	c=1 d=1 t=9886
wa ya ya ya ya ya 	哇呀呀呀呀呀	c=1 d=1 t=124955
wa zi 	娃子	c=1 d=1 t=33582
wai 	外	c=9 d=1 t=121228
wai 	歪	c=2 d=1.00995 t=96251
wai bao 	外包	c=3 d=1 t=68100
wai bian 	外邊	c=1 d=1 t=11514
wai biao 	外表	c=1 d=1 t=77727
wai bu 	外部	c=4 d=1.00001 t=95675
wai chu 	外出	c=2 d=1 t=99527
wai cun 	外存	c=1 d=1 t=76271
wai di ren 	外地人	c=1 d=1 t=75607
wai gua 	外掛	c=2 d=1 t=88986
wai guo ren 	外國人	c=1 d=1 t=129874
wai hu 	外呼	c=5 d=1 t=115456
wai jiao 	外教	c=2 d=1.99005 t=57445
wai jiao 	崴脚	c=1 d=1 t=110918
wai jie 	外接	c=3 d=1.74082 t=34746
wai le 	歪了	c=1 d=1 t=86601
wai mai 	外賣	c=6 d=1 t=120639
wai mian 	外面	c=7 d=1 t=113437
wai po 	外婆	c=1 d=1 t=92281
wai qi 	外企	c=1 d=1 t=109331
wai ren 	外人	c=2 d=1.51283 t=78364
wai ren kan 	外人看	c=1 d=1 t=78365
wai sheng 	外甥	c=1 d=0.1 t=84987
wai tao 	外套	c=2 d=1 t=51574
wai tou 	外頭	c=1 d=1 t=81809
wai wang 	外網	c=12 d=4.56609 t=74974
wai wen 	外文	c=1 d=1 t=125595
wai xing 	外形	c=1 d=1 t=87689
wai xing 	外星	c=2 d=1.95123 t=98260
wai xun huan 	外循環	c=1 d=1 t=39788
wai zhan 	外战	c=1 d=1 t=37435
wan 	丸	c=0 d=0.1 t=60728
wan 	卍	c=2 d=1.99005 t=123100
wan 	完	c=30 d=1.00002 t=133097
wan 	晚	c=6 d=1 t=119471
wan 	玩	c=177 d=1.01635 t=134206
wan 	碗	c=3 d=1 t=109033
wan an 	晚安	c=14 d=1.00021 t=128369
wan ba kuai 	萬把塊	c=0 d=0.1 t=52978
wan ba kuai qian 	萬把塊錢	c=1 d=1 t=52979
wan bei 	晚輩	c=1 d=1 t=113983
wan bei xing 	完備性	c=2 d=1 t=38054
wan bu dao 	玩不到	c=1 d=1 t=51589
wan bu de yi 	萬不得已	c=1 d=1 t=110244
wan bu hao 	玩不好	c=1 d=1 t=80663
wan bu qi 	玩不起	c=1 d=1 t=107595
wan can 	晚餐	c=1 d=1 t=19121
wan cao cao 	玩曹操	c=1 d=1 t=43416
wan chang 	晚場	c=1 d=1 t=74492
wan cheng 	完成	c=31 d=1.14882 t=130810
wan cheng 	玩成	c=1 d=1 t=31876
wan chu lai 	玩出來	c=1 d=1 t=84946
wan da 	萬達	c=1 d=1 t=5793
wan dao 	彎道	c=1 d=1 t=91545
wan dao 	玩到	c=1 d=1 t=87585
wan dao chao che 	彎道超車	c=1 d=1 t=78194
wan de 	玩得	c=17 d=1 t=134392
wan de cai 	玩得菜	c=1 d=1 t=26527
wan de duo 	玩得多	c=1 d=1 t=99901
wan de hao 	玩得好	c=1 d=1 t=21835
wan dian 	晚點	c=2 d=1 t=120967
wan er 	婉兒	c=18 d=1 t=128335
wan er fen 	婉兒粉	c=1 d=1 t=93498
wan fa 	玩法	c=3 d=0.178473 t=90432
wan fan 	晚飯	c=3 d=1 t=85137
wan fan ju 	晚飯局	c=1 d=1 t=76049
wan fen zhi 	万分之	c=1 d=1 t=125421
wan fu zhu 	玩辅助	c=3 d=1 t=92455
wan ge 	玩个	c=3 d=1 t=115310
wan ge 	萬個	c=1 d=1 t=15595
wan guo 	玩過	c=10 d=1 t=117677
wan guo kai 	玩過鎧	c=1 d=1 t=41273
wan hao 	完好	c=1 d=1 t=98965
wan hao 	萬豪	c=1 d=1 t=98964
wan hui 	挽回	c=1 d=1 t=29652
wan hui er 	玩会儿	c=1 d=1 t=4817
wan jia 	玩家	c=7 d=1 t=116200
wan jie 	完結	c=1 d=1 t=25009
wan jin 	萬金	c=1 d=1 t=116058
wan jiu 	玩久	c=1 d=1 t=19426
wan ju 	玩具	c=1 d=1 t=90932
wan le 	完了	c=15 d=1 t=126682
wan le 	晚了	c=2 d=1 t=96965
wan le 	玩了	c=9 d=1 t=122194
wan lu lu 	玩露露	c=1 d=1 t=87398
wan ma 	玩吗	c=1 d=1 t=97823
wan mei 	完美	c=16 d=1 t=120941
wan mei da zhao 	完美大招	c=1 d=1 t=36015
wan neng 	萬能	c=0 d=0.1 t=108727
wan neng fu 	萬能福	c=1 d=1 t=108728
wan ni 	玩你	c=2 d=1 t=39957
wan ni ba 	玩泥巴	c=1 d=1 t=71287
wan nian 	萬年	c=1 d=1 t=24240
wan nong 	玩弄	c=1 d=1 t=120227
wan quan 	完全	c=24 d=1 t=121210
wan quan gai 	完全改	c=1 d=1 t=69562
wan ren 	萬人	c=1 d=1 t=89824
wan ren di 	萬人敵	c=2 d=1.96561 t=124940
wan ru 	宛如	c=2 d=1 t=109220
wan shan 	完善	c=2 d=1 t=118644
wan shang 	晚上	c=129 d=1 t=133572
wan shen me 	玩什麼	c=7 d=1 t=118771
wan shi er 	完事儿	c=1 d=1 t=45910
wan shou ji 	玩手机	c=1 d=1 t=126338
wan shui 	晚睡	c=0 d=0.1 t=14370
wan shui jiao 	晚睡覺	c=1 d=1 t=14371
wan sui 	萬歲	c=0 d=0.1 t=93397
wan ti 	完題	c=1 d=1 t=114010
wan wan 	彎彎	c=1 d=1 t=18350
wan wan 	湾湾	c=1 d=1 t=102334
wan wan 	玩玩	c=1 d=1 t=64996
wan wei 	万维	c=1 d=1 t=118420
wan wo 	玩我	c=1 d=1 t=55565
wan wu 	萬物	c=1 d=1 t=110608
wan xia 	晚霞	c=2 d=1 t=109028
wan xiao 	玩笑	c=2 d=1 t=109029
wan xing 	完形	c=1 d=1 t=41471
wan yi dian 	晚一点	c=10 d=1.00031 t=125728
wan yi er 	玩意兒	c=11 d=1.57121 t=134006
wan yi ge 	玩一个	c=1 d=1 t=58127
wan yi hui er 	玩一會兒	c=1 d=1 t=30273
wan yi ju 	玩一局	c=2 d=1 t=105425
wan yi quan 	玩一圈	c=1 d=1 t=26280
wan yi shou 	玩一手	c=1 d=1 t=73995
wan yi xia 	玩一下	c=6 d=1 t=122719
wan you xi 	玩遊戲	c=6 d=1 t=94715
wan zao 	完澡	c=1 d=1 t=109414
wan zhe ge 	玩这个	c=1 d=1 t=99011
wan zheng 	完整	c=7 d=1 t=133921
wan zheng du 	完整度	c=1 d=1 t=10483
wan zheng xing 	完整性	c=2 d=1 t=62197
wan zi xi 	晚自習	c=4 d=1 t=34715
wang 	往	c=11 d=1 t=114939
wang 	旺	c=1 d=1 t=120357
wang 	汪	c=1 d=1 t=55107
wang 	王	c=22 d=1 t=123979
wang 	網	c=12 d=1.02352 t=121635
wang ba 	王八	c=1 d=1 t=87845
wang cheng 	望城	c=1 d=1 t=53143
wang dian 	網點	c=1 d=1 t=55432
wang duan 	網段	c=7 d=1.0006 t=74905
wang guo 	王國	c=1 d=1 t=49366
wang hong 	网红	c=1 d=1 t=78447
wang hou 	往後	c=1 d=1 t=89102
wang hou tui 	往后推	c=1 d=1 t=9879
wang hui 	往回	c=4 d=1 t=110140
wang ji 	忘記	c=47 d=1.83585 t=132457
wang jian lin 	王健林	c=1 d=1 t=65077
wang jing 	王晶	c=1 d=1 t=78446
wang jing 	王靜	c=1 d=1 t=117647
wang kai 	王凯	c=20 d=1 t=128952
wang kai yi mian 	網開一面	c=1 d=1 t=55864
wang lao ban 	王老板	c=1 d=1 t=108238
wang lao ji 	王老吉	c=1 d=1 t=78426
wang lao shi 	王老師	c=17 d=1 t=134135
wang le 	忘了	c=3 d=1.00003 t=70331
wang le 	網了	c=1 d=1 t=71696
wang li 	往裏	c=3 d=1 t=64654
wang li li 	王丽丽	c=3 d=1 t=14917
wang lian 	網戀	c=1 d=1 t=115668
wang liang 	王亮	c=3 d=1 t=118779
wang luo 	網絡	c=70 d=1 t=125090
wang luo dian shi 	網絡電視	c=1 d=1 t=77874
wang luo jie gou 	網絡結構	c=2 d=1 t=127178
wang luo liu 	网络流	c=1 d=1 t=100690
wang luo shang 	網絡上	c=1 d=1 t=74931
wang luo zu 	網絡組	c=1 d=1 t=1248
wang ni na er 	往你那儿	c=1 d=1 t=84303
wang pai 	王牌	c=1 d=1 t=13749
wang pan 	網盤	c=4 d=1.00026 t=75637
wang qian 	往前	c=5 d=1 t=89209
wang sao jun 	王骚君	c=1 d=1 t=41690
wang shang 	往上	c=2 d=1 t=124898
wang shang 	網上	c=5 d=1 t=67443
wang shi 	往事	c=1 d=1 t=101554
wang shuai 	王帥	c=3 d=1 t=124019
wang shui 	王水	c=1 d=1 t=55832
wang su 	網速	c=1 d=1 t=85665
wang tu 	妄圖	c=1 d=1 t=24950
wang wang 	往往	c=6 d=1.00001 t=42117
wang wang 	旺旺	c=0 d=0.1 t=69292
wang wang 	汪汪	c=1 d=1 t=55160
wang wang wang 	旺旺旺	c=1 d=1 t=69293
wang xia 	網下	c=1 d=1 t=93888
wang xia jiang 	往下降	c=1 d=1 t=34088
wang xiang 	妄想	c=1 d=1 t=61260
wang xiang zheng 	妄想症	c=1 d=1 t=133717
wang ye 	王業	c=1 d=1 t=96161
wang ye 	網頁	c=15 d=1 t=104484
wang yi 	網易	c=6 d=1 t=95455
wang yi you xi 	網易遊戲	c=2 d=1 t=113896
wang you 	網友	c=1 d=0.1 t=71733
wang yue che 	網約車	c=1 d=1 t=134562
wang zhan 	網站	c=15 d=1 t=68593
wang zhao jun 	王昭君	c=18 d=1 t=101483
wang zhe 	王者	c=89 d=1.94951 t=129058
wang zhe ju 	王者局	c=2 d=1 t=23516
wang zhe rong yao 	王者荣耀	c=2 d=1 t=80162
wang zhi 	網址	c=11 d=1.98511 t=119943
wang zhong wang 	王中王	c=3 d=1.8825 t=68539
wang zi 	王子	c=1 d=1 t=132717
wang zuan 	網賺	c=1 d=1 t=68105
wang zuo 	王座	c=0 d=0.1 t=22180
wei 	位	c=16 d=1 t=105612
wei 	偉	c=0 d=0.1 t=80744
wei 	僞	c=2 d=0.1 t=124740
wei 	味	c=1 d=1 t=114077
wei 	喂	c=3 d=1 t=98055
wei 	圍	c=1 d=1 t=106045
wei 	委	c=1 d=0.833447 t=88334
